time_s,ee_px,ee_py,ee_pz,ee_qx,ee_qy,ee_qz,ee_qw,ee_vx,ee_vy,ee_vz
0,0,0,0,0,0,0,1,0.29777,0,0
0.1,0.029777,0,0,0,0,0,1,0.570161,0,0
0.2,0.0867931,0,0,0,0,0,1,0.522128,0,0
0.3,0.139006,0,0,0,0,0,1,0.466099,0,0
0.4,0.185616,0,0,0,0,0,1,0.413043,0,0
0.5,0.22692,0,0,0,0,0,1,0.36376,0,0
0.6,0.263296,0,0,0,0,0,1,0.318721,0,0
0.7,0.295168,0,0,0,0,0,1,0.27811,0,0
0.8,0.322979,0,0,0,0,0,1,0.241884,0,0
0.9,0.347168,0,0,0,0,0,1,0.209843,0,0
1,0.368152,0,0,0,0,0,1,0.181692,0,0
1.1,0.386321,0,0,0,0,0,1,0.157083,0,0
1.2,0.402029,0,0,0,0,0,1,0.135655,0,0
